"observation","prediction"
3.4,5.36239290237427
8.79,5.36239290237427
3.2,5.36239290237427
2.1,5.36239290237427
2,5.36239290237427
1.6,5.36239290237427
4.8,5.36239290237427
2.87,5.36239290237427
3.3,5.36239290237427
3.99,5.36239290237427
3.1,5.36239290237427
3.75,5.36239290237427
3.7,5.36239290237427
5.51,5.36239290237427
7.7,5.36239290237427
11.04,5.36239290237427
3.3,5.36239290237427
2.8,5.36239290237427
3.17,5.36239290237427
1.1,5.36239290237427
8.1,5.36239290237427
12.94,5.36239290237427
3.9,5.36239290237427
13.87,5.36239290237427
7,5.36239290237427
3.32,5.36239290237427
4.6,5.36239290237427
13.44,5.36239290237427
4.2,5.36239290237427
11.51,5.36239290237427
4,5.36239290237427
4.5,5.36239290237427
3.6,5.36239290237427
5.3,5.36239290237427
2.8,5.36239290237427
5.4,5.36239290237427
4.39,5.36239290237427
9.08,5.36239290237427
6.3,5.36239290237427
5.4,5.36239290237427
4,5.36239290237427
3.25,5.36239290237427
2.2,5.36239290237427
4.7,5.36239290237427
3.6,5.36239290237427
2.35,5.36239290237427
8.77,5.36239290237427
11.59,5.36239290237427
2.2,5.36239290237427
6.75,5.36239290237427
4.2,5.36239290237427
7.57,5.36239290237427
